parameter_index,smirks,template_value,fitted_value,trained,molecule_count,nonzero_atom_count
253,"[#8X1,#8X2:1]-[#1:2]",-0.201,-0.43553101542265826,True,3437,9473
254,"[#8X1,#8X2:1]=[#16X4:2]",0.2792,-0.5886705830408606,True,1346,4335
255,"[#8X1,#8X2:1]=[#16X3:2]",0.2718,-0.4826486626507487,True,150,305
256,"[#8X1,#8X2:1]=[#16X1,#16X2:2]",0.1583,-0.4699891746621012,True,5,12
257,"[#8X1,#8X2:1]:[#16X1,#16X2:2]",0.0983,0.0,False,0,0
258,"[#8X1,#8X2:1]~[#16X4:2]",0.3228,0.0,False,0,0
259,"[#8X1,#8X2:1]~[#16X3:2]",0.3916,0.0,False,0,0
260,"[#8X1,#8X2:1]~[#16X1,#16X2:2]",0.153,0.0,False,0,0
261,[#16X4:1]-[#9:2],-0.2041,0.2256872653798916,True,11,26
262,[#16X4:1]-[#17:2],-0.2761,0.22644160705242508,True,11,24
263,[#16X4:1]-[#35:2],-0.197,0.0,False,0,0
264,[#16X4:1]-[#53:2],-0.149,0.0,False,0,0
265,[#16X4:1]-[#1:2],-0.4588,0.0,False,0,0
266,[#16X3:1]-[#16X3:2],0.0,0.0,False,0,0
267,[#16X3:1]-[#17:2],-0.235,0.15097422471610555,True,3,6
268,[#16X3:1]-[#1:2],-0.404,0.0,False,0,0
269,"[#16X1,#16X2:1]-[#16X4:2]",0.2971,-0.15639277083095965,True,15,34
270,"[#16X1,#16X2:1]-[#16X3:2]",0.2576,-0.09031840546960532,True,6,12
271,"[#16X1,#16X2:1]-[#16X1,#16X2:2]",0.0,-0.0011573025679631806,True,157,332
272,"[#16X1,#16X2:1]-[#14X4:2]",-0.0936,0.0,False,0,0
273,"[#16X1,#16X2:1]-[#9:2]",-0.0547,0.1706583661512032,True,1,4
274,"[#16X1,#16X2:1]-[#17:2]",-0.026,0.05721716297732338,True,3,6
275,"[#16X1,#16X2:1]-[#35:2]",0.1105,0.21057284290631875,True,2,6
276,"[#16X1,#16X2:1]-[#1:2]",-0.1718,-0.2018126978307347,True,235,538
277,"[#16X1,#16X2:1]=[#16X3:2]",0.3295,0.0,False,0,0
278,"[#16X1,#16X2:1]:[#16X1,#16X2:2]",0.0,0.0,False,0,0
279,"[#16X1,#16X2:1]~[#16X4:2]",0.5218,0.0,False,0,0
280,[#14X4:1]-[#17:2],-0.0555,0.0,False,0,0
281,[#14X4:1]-[#1:2],-0.0258,0.0,False,0,0
