parameter_index,smirks,original_value,covered_molecule_count,nonzero_atom_count
206,"[#7X4,#7X3,#7X2-1:1]-[#7X2-1$(*-[#6X3$(*=[#8X1,#16X1])]),#7X3$(*-[#6X3$(*=[#8X1,#16X1])]):2]",-0.0302,277,575
207,"[#7X4,#7X3,#7X2-1:1]-[#7X4,#7X3,#7X2-1:2]",0.0,253,538
208,"[#7X4,#7X3,#7X2-1:1]-[#7X2+0,#7X2-1ar5:2]",0.0867,502,1055
209,"[#7X4,#7X3,#7X2-1:1]-[#8X1,#8X2:2]",-0.0517,245,542
210,"[#7X4,#7X3,#7X2-1:1]-[#16X4:2]",0.3359,773,1654
211,"[#7X4,#7X3,#7X2-1:1]-[#16X3:2]",0.3531,11,24
212,"[#7X4,#7X3,#7X2-1:1]-[#16X1,#16X2:2]",0.0757,35,77
213,"[#7X4,#7X3,#7X2-1:1]-[#14X4:2]",0.1037,0,0
214,"[#7X4,#7X3,#7X2-1:1]-[#9:2]",-0.0204,14,61
215,"[#7X4,#7X3,#7X2-1:1]-[#17:2]",-0.0369,18,57
216,"[#7X4,#7X3,#7X2-1:1]-[#35:2]",0.0876,4,10
217,"[#7X4,#7X3,#7X2-1:1]-[#53:2]",0.1898,0,0
218,"[#7X4,#7X3,#7X2-1:1]-[#1:2]",-0.2048,5223,15927
219,"[#7X1,#7X2+1:1]-[#1:2]",-0.1634,0,0
220,"[#7X1,#7X2+1:1]=[#7X1,#7X2+1:2]",0.0,91,195
221,"[#7X1,#7X2+1:1]#[#7X1,#7X2+1:2]",0.0,11,22
222,"[#7X1,#7X2+1:1]-[#16X1,#16X2:2]",0.1473,0,0
223,"[#7X2+0,#7X2-1ar5:1]-[#7X1,#7X2+1:2]",0.1043,0,0
224,"[#7X2+0,#7X2-1ar5:1]-[#7X2+0,#7X2-1ar5:2]",0.0,765,1552
225,"[#7X2+0,#7X2-1ar5:1]-[#8X1,#8X2:2]",-0.0985,699,1497
226,"[#7X2+0,#7X2-1ar5:1]-[#16X4:2]",0.2714,71,148
227,"[#7X2+0,#7X2-1ar5:1]-[#16X3:2]",0.1731,4,9
228,"[#7X2+0,#7X2-1ar5:1]-[#16X1,#16X2:2]",0.0315,193,430
229,"[#7X2+0,#7X2-1ar5:1]-[#14X4:2]",0.115,0,0
230,"[#7X2+0,#7X2-1ar5:1]-[#9:2]",-0.0554,2,6
231,"[#7X2+0,#7X2-1ar5:1]-[#17:2]",-0.0603,3,10
232,"[#7X2+0,#7X2-1ar5:1]-[#35:2]",0.0192,3,8
233,"[#7X2+0,#7X2-1ar5:1]-[#53:2]",0.1171,0,0
234,"[#7X2+0,#7X2-1ar5:1]-[#1:2]",-0.2444,350,772
235,"[#7X2+0,#7X2-1ar5:1]=[#7X1,#7X2+1:2]",0.004,70,152
236,"[#7X2+0,#7X2-1ar5:1]=[#7X2+0,#7X2-1ar5:2]",0.0,912,1888
237,"[#7X2+0,#7X2-1ar5:1]=[#8X1,#8X2:2]",-0.0467,146,324
238,"[#7X2+0,#7X2-1ar5:1]=[#16X4:2]",0.4265,27,56
239,"[#7X2+0,#7X2-1ar5:1]=[#16X3:2]",0.3764,4,8
240,"[#7X2+0,#7X2-1ar5:1]=[#16X1,#16X2:2]",0.1684,4,10
241,"[#7X2+0,#7X2-1ar5:1]:[#7X2+0,#7X2-1ar5:2]",0.0,0,0
242,"[#7X2+0,#7X2-1ar5:1]:[#8X1,#8X2:2]",-0.0723,0,0
243,"[#7X2+0,#7X2-1ar5:1]:[#16X1,#16X2:2]",0.0419,0,0
244,"[#8X1,#8X2:1]-[#8X1,#8X2:2]",0.0,75,179
245,"[#8X1,#8X2:1]-[#16X4:2]",0.2093,262,680
246,"[#8X1,#8X2:1]-[#16X3:2]",0.2152,31,75
247,"[#8X1,#8X2:1]-[#16X1,#16X2:2]",0.0442,8,20
248,"[#8X1,#8X2:1]-[#14X4:2]",0.0083,0,0
